age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,zscores
53,blue-collar,married,unknown,no,960,no,yes,unknown,24,jun,180,1,687,2,other,no,-0.13212067172278985
41,management,married,tertiary,no,1409,no,no,cellular,5,aug,138,1,-1,0,unknown,no,0.015347143826988442
31,admin.,married,secondary,no,377,no,no,cellular,31,jul,384,4,-1,0,unknown,no,-0.3235989266571345
30,blue-collar,single,secondary,no,4749,no,no,cellular,6,aug,220,2,-1,0,unknown,no,1.1123237672930453
48,admin.,married,secondary,no,490,no,no,cellular,6,aug,136,2,-1,0,unknown,no,-0.2864856456835823
34,management,married,tertiary,no,-73,yes,no,cellular,11,jul,90,1,-1,0,unknown,no,-0.471395178321723
51,retired,single,primary,no,604,no,no,unknown,20,jun,43,2,-1,0,unknown,no,-0.24904392859521987
59,blue-collar,married,primary,no,8,no,no,telephone,28,jan,56,1,-1,0,unknown,no,-0.4447918530220971
33,management,married,tertiary,no,5,yes,no,unknown,7,aug,12,1,-1,0,unknown,no,-0.4457771613665277
56,blue-collar,married,primary,no,1798,yes,no,unknown,29,may,228,3,-1,0,unknown,no,0.14310879248815495
44,entrepreneur,divorced,tertiary,no,134,yes,no,cellular,12,may,78,5,-1,0,unknown,no,-0.4034089025560123
34,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no,-0.27531881778003564
29,management,married,secondary,no,231,no,no,cellular,30,apr,80,1,-1,0,unknown,no,-0.37155059941942326
36,self-employed,married,tertiary,no,687,yes,no,cellular,28,may,568,8,-1,0,unknown,no,-0.22178373106597354
23,blue-collar,single,secondary,no,1690,yes,yes,unknown,30,may,163,3,-1,0,unknown,no,0.1076376920886537
32,services,married,secondary,yes,-790,yes,no,unknown,3,jun,159,1,-1,0,unknown,no,-0.706883872640634
33,management,married,tertiary,no,0,no,no,cellular,20,aug,85,5,-1,0,unknown,no,-0.4474193419405787
46,admin.,divorced,secondary,no,7378,no,no,cellular,18,nov,466,1,-1,0,unknown,no,1.9757823131290522
34,admin.,married,secondary,no,247,yes,yes,unknown,12,may,1727,5,-1,0,unknown,no,-0.3662956215824601
47,unknown,married,unknown,no,1880,no,no,unknown,18,jun,64,2,-1,0,unknown,no,0.17004055390259107
41,management,married,tertiary,no,1387,yes,no,cellular,18,may,154,2,-1,0,unknown,no,0.008121549301164115
39,blue-collar,divorced,unknown,no,170,yes,no,unknown,6,may,268,2,-1,0,unknown,no,-0.3915852024228452
33,admin.,married,tertiary,no,79,yes,no,cellular,5,may,389,1,195,4,success,yes,-0.42147288887057316
45,admin.,married,secondary,no,740,no,yes,cellular,19,aug,109,2,-1,0,unknown,no,-0.20437661698103313
43,blue-collar,married,secondary,no,1025,yes,no,cellular,2,jun,106,1,-1,0,unknown,no,-0.11077232426012708
55,management,single,tertiary,no,0,no,no,cellular,30,apr,156,3,-1,0,unknown,no,-0.4474193419405787
51,management,married,tertiary,no,583,no,no,cellular,26,may,109,1,-1,0,unknown,no,-0.255941087006234
43,blue-collar,married,primary,no,517,yes,no,cellular,20,apr,138,2,263,7,failure,no,-0.277617870583707
48,blue-collar,married,secondary,no,1841,yes,no,unknown,30,may,216,3,-1,0,unknown,no,0.1572315454249934
30,services,single,secondary,no,9720,no,yes,cellular,20,nov,255,2,-1,0,unknown,no,2.744979694014533
26,blue-collar,single,secondary,no,419,yes,no,unknown,28,may,94,3,-1,0,unknown,no,-0.30980460983510627
42,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,58,4,-1,0,unknown,no,-0.4474193419405787
39,blue-collar,married,secondary,no,5853,yes,no,unknown,21,may,210,2,-1,0,unknown,no,1.4749172380435023
45,blue-collar,married,secondary,no,3092,yes,yes,cellular,12,may,180,2,-1,0,unknown,no,0.5681051250525494
36,services,married,secondary,no,1746,yes,no,unknown,26,may,99,1,-1,0,unknown,no,0.12603011451802473
26,admin.,divorced,secondary,no,-45,yes,no,unknown,4,jun,357,2,-1,0,unknown,no,-0.4621989671070375
